node_id,x_mm,y_mm,z_mm,rho
424,1.244457493,0.1,9.458190906,0.97376
425,-0.771572084,0.1,9.660363801999999,1.0
426,2.833333333,0.1,11.0,1.0
427,0.9444444444,-0.45,11.0,1.0
428,1.888888889,-0.45,11.0,1.0
429,2.833333333,-0.45,11.0,1.0
430,0.9389376041999999,-0.45,9.338390474999999,1.0
431,2.1889019370000002,0.1,9.458190906,0.97376
432,4.722222222,0.1,11.0,1.0
433,3.777777778,-0.45,11.0,1.0
434,4.722222222,-0.45,11.0,1.0
435,3.133346381,0.1,9.458190906,0.97376
436,4.796032665,0.1,10.05104266,0.93974
437,6.6111111110000005,0.1,11.0,1.0
438,5.666666667,-0.45,11.0,1.0
439,5.7404771100000005,0.1,10.05104266,0.93974
440,8.5,0.1,11.0,1.0
441,6.6111111110000005,-0.45,11.0,1.0
442,7.555555556,-0.45,11.0,1.0
443,8.333885193999999,-0.45,9.837382847,0.89712
444,6.82867482,-0.45,10.06843326,0.94642
445,8.25859791,0.1,9.682142848,0.87041
446,6.684921554000001,0.1,10.05104266,0.93974
447,10.38888889,0.1,11.0,1.0
448,8.5,-0.45,11.0,1.0
449,9.444444444,-0.45,11.0,1.0
450,9.278329639,-0.45,9.837382847,0.89712
451,9.203042353999999,0.1,9.682142848,0.87041
452,12.277777780000001,0.1,11.0,1.0
453,10.38888889,-0.45,11.0,1.0
454,11.33333333,-0.45,11.0,1.0
455,10.22277408,-0.45,9.837382847,0.89712
456,11.68261994,-0.45,9.507352783,0.89625
457,10.1474868,0.1,9.682142848,0.87041
458,11.930105809999999,0.1,9.109937106999999,0.86313
459,14.16666667,0.1,11.0,1.0
460,12.277777780000001,-0.45,11.0,1.0
461,13.222222219999999,-0.45,11.0,1.0
462,12.62706438,-0.45,9.507352783,0.89625
463,14.07407442,-0.45,9.500000025,0.90672
464,12.87455026,0.1,9.109937106999999,0.86313
465,14.07407442,0.1,9.500000025,0.89037
466,16.055555560000002,0.1,10.1,0.99011
467,14.16666667,-0.45,11.0,1.0
468,15.111111110000001,-0.45,11.0,1.0
469,15.01851886,-0.45,9.500000025,0.90672
470,15.01851886,0.1,9.500000025,0.89037
471,15.55864207,-0.175,10.30000001,1.0
472,17.0,0.1,2.9,0.013193
473,16.25,0.1,2.0,0.0
474,17.0,-0.45,2.0,0.0
475,16.25,-0.45,2.0,0.0
476,17.0,0.1,8.3,0.90587
477,17.0,-0.45,10.1,0.99011
478,17.0,-0.45,9.2,0.97436
479,15.962963310000001,0.1,8.600000025,0.88048
480,16.50308651,-0.175,9.400000007,0.99011
481,17.0,0.1,6.5,0.59762
482,17.0,-0.45,8.3,0.90002
483,17.0,-0.45,7.4,0.79535
484,15.962963310000001,0.1,7.700000025,0.80613
485,17.0,0.1,4.7,0.19505
486,17.0,-0.45,6.5,0.56145
487,17.0,-0.45,5.6,0.3754
488,17.0,-0.45,4.7,0.20225
489,15.212963180000001,-0.45,4.999999998,0.30504
490,15.212963180000001,0.1,4.999999998,0.27845
491,15.962963310000001,0.1,6.800000025,0.57223
492,16.25,0.1,2.9,0.013193
493,17.0,-0.45,2.9,0.013193
494,16.25,-0.45,2.9,0.013193
495,17.0,-0.45,3.8,0.033586
496,15.212963180000001,-0.45,4.099999998,0.13638
497,15.212963180000001,0.1,4.099999998,0.10978
498,11.75,0.1,2.0,0.0
499,11.0,0.1,1.25,0.0
500,11.0,-0.45,2.0,0.0
501,11.0,-0.45,1.25,3.554e-07
502,9.540697408000002,-0.45,2.091056933,0.10541
503,10.585907950000001,-0.45,3.5067338279999998,0.12274
504,12.21296318,-0.45,3.199999998,0.12319
505,10.42592591,0.1,3.500000022,0.0776
506,12.21296318,0.1,3.199999998,0.096592
507,10.0977845,0.1,1.6384723369999998,0.0075429
508,14.75,0.1,2.0,0.0
509,15.5,-0.45,2.0,0.0
510,14.75,-0.45,2.0,0.0
511,14.46296318,-0.45,3.199999998,0.12319
512,14.46296318,0.1,3.199999998,0.096592
513,13.25,0.1,2.0,0.0
514,14.0,-0.45,2.0,0.0
515,13.25,-0.45,2.0,0.0
516,13.71296318,-0.45,3.199999998,0.12319
517,13.71296318,0.1,3.199999998,0.096592
518,11.75,-0.45,2.0,0.0
519,12.5,-0.45,2.0,0.0
520,12.962963180000001,-0.45,3.199999998,0.12319
521,12.962963180000001,0.1,3.199999998,0.096592
522,11.0,0.1,-0.25,0.00066087
523,11.0,-0.45,0.5,3.554e-07
524,11.0,-0.45,-0.25,0.0009105
525,9.958505362,0.1,-0.3404631274,0.12437
526,10.0977845,0.1,0.8884723365,0.0075429
527,11.0,0.1,-1.75,0.032927
528,11.0,-0.45,-1.0,0.0015714
529,11.0,-0.45,-1.75,0.03254
530,9.958505362,0.1,-1.090463127,0.12503
531,11.0,-0.45,-3.25,0.068755
532,10.25,-0.45,-3.25,0.17136
533,11.0,-0.45,-2.5,0.064146
534,9.958505362,0.1,-1.840463127,0.15664
535,-11.75,-1.0,2.0,5.6063e-05
536,-11.0,-1.0,1.25,5.6063e-05
537,-10.097222200000001,-1.0,3.187500007,0.10945
538,-9.650411542,-1.0,1.769039879,0.085674
539,-12.12419119,-1.0,2.7913846049999997,0.0036616
540,-11.686452110000001,-0.45,2.900725815,0.0025271
